Required Name,Match Status,Matched Global Name,Matched Code,Confidence
"CBC (Complete Blood Count)",MISSING,"",,52%
""Creatinine",MISSING,"",,53%
"ALT (SGPT)",EXACT,"ALT (SGPT)",ALT,100%
"Urine Routine Examination (URM)",EXACT,"Urine Routine Examination (URM)",URM,100%
""CRP (C - Reactive Protein)",FUZZY,"C-Reactive Protein",CP,67%
"TSH",MISSING,"",,22%
"Random Plasma Glucose",EXACT,"Random Plasma Glucose",RPG,100%
"HbA1c (Glycosylated Hemoglobin)",EXACT,"HbA1c (Glycosylated Hemoglobin)",HBA1C,100%
"Lipid Profile",EXACT,"Lipid Profile",LIPID,100%
"FBS & PPBS",MISSING,"",,29%
"Prothrombin Time [PT]",FUZZY,"Prothrombin Time (PT/INR)",PTINR,76%
"Vitamin B12",EXACT,"Vitamin B12",VITB12,100%
"Fasting Blood Glucose",EXACT,"Fasting Blood Glucose",FBG,100%
"Blood Group [ABO + Rh]",EXACT,"Blood Group [ABO + Rh]",ABORH,100%
"Activated Partial Thromboplastin Time [aPTT]",FUZZY,"Activated Partial Thromboplastin Time (aPTT)",APTT,95%
"Widal test [Slide method]",FUZZY,"Widal Test (Slide Method)",WIDALS,92%
""Bilirubin",MISSING,"",,40%
"HIV I & II �by Chemiluminescence",MISSING,"",,38%
"Thyroid Function Test [TFT]",FUZZY,"Thyroid Function Test (TFT)",TFT,93%
"Hb (Hemoglobin)",FUZZY,"Hemoglobin",HB,67%
""Troponin I",MISSING,"",,38%
"Sickling Test",EXACT,"Sickling Test",SICKLE,100%
"Sodium Potassium (NA+k)",FUZZY,"Sodium & Potassium",NAK,61%
"Postprandial Blood Glucose [2 H]",FUZZY,"Postprandial Blood Glucose (2 Hours)",PPBG2H,83%
"Vitamin D [25-OH-D]",FUZZY,"Vitamin D (25-OH)",VITD25,79%
"CBC - ESR",MISSING,"",,42%
""Hepatitis B Antigen [HBsAg]",FUZZY,"Hepatitis B Antigen (HBsAg), Rapid",HBSAGR,71%
""Smear Morphology",MISSING,"",,29%
"AST (SGOT)",EXACT,"AST (SGOT)",AST,100%
""Uric Acid",FUZZY,"Uric Acid",URIC,90%
""Urea",MISSING,"",,22%
"Potassium [Serum/Plasma]",MISSING,"",,58%
"Biopsy Small",MISSING,"",,55%
""Electrolytes",MISSING,"",,58%
"CBC with MP",FUZZY,"CBC with MPV",CBCMPV,92%
"Culture & Sensitivity (CS)",MISSING,"",,36%
""Immunoglobulin",MISSING,"",,53%
"Hepatitis C Ab. [Chemiluminescence]",MISSING,"",,43%
"Stool Routine Examination",EXACT,"Stool Routine Examination",SRE,100%
""Rheumatoid factor",MISSING,"",,52%
"HB Electrophoresis",FUZZY,"Hemoglobin Electrophoresis",HBE,69%
"Iron Profile",EXACT,"Iron Profile",IRONP,100%
"Prolactin",EXACT,"Prolactin",PRL,100%
"Ferritin",EXACT,"Ferritin",FERR,100%
"Iron [Fe]",MISSING,"",,50%
""Cholinesterase",FUZZY,"Cholinesterase, Serum",CHE,62%
"Protein with A/G Ratio [Fraction panel]",MISSING,"",,41%
"VDRL with titer",EXACT,"VDRL with Titer",VDRL,100%
"Liver Function Test",EXACT,"Liver Function Test",LFT,100%
"FT4 [Free T4]",MISSING,"",,35%
"FSH",MISSING,"",,17%
"Bicarbonate (HCO3)",EXACT,"Bicarbonate (HCO3)",HCO3,100%
"Arterial Blood Gas (ABG) Analysis",MISSING,"",,36%
""Malarial Antigen",MISSING,"",,58%
"Creatinine with EGFR",EXACT,"Creatinine with EGFR",CREGFR,100%
""Lipase",FUZZY,"Lipase",LIPASE,86%
""Calcium",MISSING,"",,44%
"Renal Function Test",EXACT,"Renal Function Test",RFT,100%
""Sodium (Na+)",FUZZY,"Sodium (Na+)",NA,92%
""Total Cholesterol",FUZZY,"Total Cholesterol",CHOL,94%
""Amylase",MISSING,"",,43%
"Beta HCG [Quantitative]",FUZZY,"Beta HCG, Quantitative",BHCGQ,87%
"Semen Examination",MISSING,"",,56%
""Acetone",MISSING,"",,33%
""Dengue NS1",MISSING,"",,39%
"Procalcitonin [PCT]",FUZZY,"Procalcitonin (PCT)",PCT,89%
""Prostate Specific Ag. [PSA]",FUZZY,"Prostate Specific Antigen (PSA), Total",PSA,61%
"NT-proBNP",MISSING,"",,33%
"TOXO IGG/IGM",FUZZY,"Toxoplasma IgG/IgM",TOXOGM,67%
"HB-TC-DC-ESR(CBC-ESR)",MISSING,"",,25%
"S. typhi IgG & IgM [Rapid IA]",FUZZY,"S. typhi IgG & IgM",STYPHIGM,62%
"Free Thyroid Function Test [Free TFT]",FUZZY,"Free Thyroid Function Test",FTFT,70%
"Hepatitis A IgM Ab.",FUZZY,"Hepatitis A IgM Antibody",HAVIGM,75%
""CA 125",FUZZY,"CA 125",CA125,86%
"Fibrin D-Dimer",MISSING,"",,50%
"Adenosine Deaminase (ADA)",MISSING,"",,45%
"Total Iron Binding Capacity (TIBC)",EXACT,"Total Iron Binding Capacity (TIBC)",TIBC,100%
"Anti Mullerian Hormone",EXACT,"Anti Mullerian Hormone",AMH,100%
""HIV",MISSING,"",,17%
"Alkaline Phosphatase",EXACT,"Alkaline Phosphatase",ALP,100%
""Albumin Creatinine Ratio",FUZZY,"Albumin Creatinine Ratio, Urine",UACR,74%
"Luteinizing Hormone [LH]",FUZZY,"Luteinizing Hormone (LH)",LH,92%
"Glucose Tolerance Test (GTT) 3 Samples",FUZZY,"Glucose Tolerance Test (GTT) - 3 Samples",GTT3S,95%
""GGT (Gamma Glutamyl Transferase)",FUZZY,"Gamma Glutamyl Transferase (GGT)",GGT,67%
""Homocysteine",FUZZY,"Homocysteine",HCY,92%
""ANA",MISSING,"",,22%
""LDH [Lactate dehydrogenase]",MISSING,"",,57%
""Dr. Nirav Patel (Minor Profile)����������������� 				"",MISSING,"",,20%
"Erythrocyte Sedimentation Rate [ESR] 1 Hour",FUZZY,"Erythrocyte Sedimentation Rate (ESR)",ESR,79%
""CEA",MISSING,"",,22%
""Magnesium",FUZZY,"Magnesium",MG,90%
""Albumin",FUZZY,"Albumin",ALB,88%
"BT CT with PT",MISSING,"",,54%
""Cotinine",MISSING,"",,35%
"Anti CCP (Cyclic Citrullinated Peptide)",FUZZY,"Anti-CCP (Cyclic Citrullinated Peptide)",CCP,97%
""Accuris B+ checkup - PLATINUM	"",MISSING,"",,28%
"Absolute Eosinophil Count (AEC)",EXACT,"Absolute Eosinophil Count (AEC)",AEC,100%
""AFB Stain",MISSING,"",,47%
""Dr. Nirav Patel (Major Profile)��������������� 				"",MISSING,"",,21%
""Ionized Calcium",MISSING,"",,38%
""Dengue NS1 Antigen",FUZZY,"Dengue NS1 Antigen (Rapid)",DNS1R,65%
""Hepatitis B Antigen [HBsAg]",FUZZY,"Hepatitis B Antigen (HBsAg), Rapid",HBSAGR,71%
""Thyroid Peroxidase (TPO) Antibody",FUZZY,"Thyroid Peroxidase (TPO) Antibody",TPOAB,97%
"Dr Sarvar vali- for TPA purpose.",MISSING,"",,34%
"Biopsy Large",FUZZY,"Biopsy, Large",BIOLG,92%
"Platelet Count [Optical method]",MISSING,"",,39%
"DR NEEL SHAH BODY PROFILE - GOLD",MISSING,"",,34%
"Mantoux (Tuberculin) Test",MISSING,"",,40%
"Exfoliative Cytology",MISSING,"",,33%
"Blood Urea Nitrogen (BUN)",EXACT,"Blood Urea Nitrogen (BUN)",BUN,100%
""Phosphorus",MISSING,"",,53%
"Ammonia (NH3)",MISSING,"",,39%
"Biopsy Extra Large",FUZZY,"Biopsy, Large",BIOLG,67%
"IHC",MISSING,"",,25%
"OT Surveillance",MISSING,"",,28%
"CS Blood Aerobic By Bactec (1 bottle)",MISSING,"",,35%
""G6PD",MISSING,"",,17%
"Hepatitis E IgM Ab.",FUZZY,"Hepatitis E IgM Antibody",HEVIGM,75%
"Fluid Routine Examination",FUZZY,"Stool Routine Examination",SRE,80%
"First Trimester Maternal Screen [Double Marker]",MISSING,"",,30%
"CPK-Total",MISSING,"",,25%
"Biopsy Medium",EXACT,"Biopsy Medium",BIOMED,100%
""CSF Routine Examination [with Gram",MISSING,"",,60%
"Accuris B+ checkup - SENIOR CITIZEN MALE",MISSING,"",,30%
"Protein Creatinine Ratio",FUZZY,"Albumin Creatinine Ratio, Urine",UACR,61%
"CBC ESR With MP",FUZZY,"CBC with MPV",CBCMPV,67%
""AFP (Alpha-feto Protein)",MISSING,"",,56%
""ANA Profile - 25 Parameters",MISSING,"",,29%
"THYROID CAMP @ DR NEEL SHAH",MISSING,"",,37%
"Lupus Anticoagulant",EXACT,"Lupus Anticoagulant",LAC,100%
"HB-TC-DC(CBC)",MISSING,"",,23%
""Reticulocytes Count",MISSING,"",,60%
"TB PCR By GeneXpert",MISSING,"",,26%
""PAP Smear",MISSING,"",,36%
""Biopsy Large",FUZZY,"Biopsy, Large",BIOLG,85%
""Accuris B+ checkup - BASIC 	"",MISSING,"",,27%
"Immature Platelet Fraction (IPF)",EXACT,"Immature Platelet Fraction (IPF)",IPF,100%
"FNAC - (Prepared 6 Slides)",MISSING,"",,31%
""IHC Panel [ER",MISSING,"",,29%
"Testosterone",MISSING,"",,35%
""CA 19-9",FUZZY,"CA 19-9",CA199,88%
"Cortisol [8 AM]",MISSING,"",,27%
""Accuris B+ checkup - SENIOR CITIZEN FEMALE	"",MISSING,"",,29%
"Biopsy Extra Large 3",MISSING,"",,60%
"High-sensitivity CRP",MISSING,"",,27%
"FSH-LH-Prolactin-TSH",MISSING,"",,45%
"Hepatitis B e antigen [HbeAg]",FUZZY,"Hepatitis B Surface Antigen (HBsAg)",HBSAG,74%
""Parathyroid Hormone (PTH)",MISSING,"",,46%
"Simnax New Sliver",MISSING,"",,35%
"ASO (Streptolysin O Antibody)",MISSING,"",,38%
""Hepatitis B Virus [Quantitative]",MISSING,"",,55%
"T4 TSH",MISSING,"",,27%
"Malarial Parasite by Peripheral smear",MISSING,"",,46%
""Anaerobic Culture",MISSING,"",,30%
"CPK-MB",MISSING,"",,21%
"Allergy Mix Panel (Veg Food+non Veg Food +pollens+contacts+drugs)",MISSING,"",,23%
"Sputum Routine & Micro",MISSING,"",,48%
"Aspergillus Galactomannan Antigen",MISSING,"",,30%
""Pneumoslide Panel IgM",MISSING,"",,39%
"Bone marrow Aspiration Reporting",MISSING,"",,34%
"Bone Marrow (BM) Biopsy",MISSING,"",,27%
"Treponema pallidum Ab. (TPHA) [Serum]",MISSING,"",,30%
"Bleeding time & clotting time (BT/CT)",FUZZY,"Bleeding Time, Clotting Time, Prothrombin Time",BTCTPT,63%
"Estradiol (E2)",MISSING,"",,36%
"Indirect Coombs Test (ICT)",MISSING,"",,38%
""Flu/H1N1 2009",MISSING,"",,18%
"Sterility Test For Biological Indicator",MISSING,"",,33%
"Cancer Karyotyping",MISSING,"",,33%
""T4",MISSING,"",,13%
"AFB stain",MISSING,"",,53%
"TB Gold",MISSING,"",,30%
"KOH Preparation For Fungus",MISSING,"",,31%
"C-Peptide (Fasting)",MISSING,"",,42%
"HB-TC-DC-MP-PLT(CBC-MP-PLT)",MISSING,"",,23%
"UPT (Urine Pregnancy Test)",MISSING,"",,35%
"Leptospira IgM",MISSING,"",,36%
"Coombs Test [Direct and indirect]",MISSING,"",,43%
"FT3 [Free T3]",MISSING,"",,30%
"MSI (Microsatellite Instability) Study by IHC",MISSING,"",,27%
"EGFR Mutation by ARMS PCR",MISSING,"",,32%
""Folic Acid",FUZZY,"Uric Acid",URIC,64%
""HSV 1 & 2 IgG IgM",MISSING,"",,44%
"Thyroglobulin and Thyroid Peroxidase Ab. Panel",MISSING,"",,35%
"Accuris B+ve checkup - Platinum Plus Female",MISSING,"",,28%
"TORCH IgG & IgM panel [10 Parameters]",MISSING,"",,32%
""T3",MISSING,"",,13%
"TC-DC-ESR",MISSING,"",,44%
"Chikungunya IgM [Rapid IA]",MISSING,"",,42%
"HB-TC",MISSING,"",,21%
""Myoglobin",FUZZY,"Hemoglobin",HB,70%
"Allergy Test - Drugs",MISSING,"",,33%
"PoC Chromosomal Microarray (CMA) -315k-aCGH",MISSING,"",,23%
"Lipoprotein (a)",MISSING,"",,54%
""Complement C3",MISSING,"",,31%
""BCR-ABL (Major and Minor) Quantification",MISSING,"",,41%
"ID & AST by VITEK",MISSING,"",,41%
""Copper Level",MISSING,"",,31%
"Insulin [Fasting]",MISSING,"",,38%
"BODY CHECK UP - DR NEEL SHAH",MISSING,"",,29%
"Iron Studies",MISSING,"",,50%
""NIPT (24 Chromosomes)",MISSING,"",,30%
"HE4 With ROMA Index",MISSING,"",,37%
"Hepatitis B e antigen [HBe] Ab. [Qualitative]",MISSING,"",,56%
"Fungal Culture",MISSING,"",,35%
"Apolipoprotein A1",MISSING,"",,50%
"Apolipoprotein B",MISSING,"",,46%
""NIPT (13",MISSING,"",,25%
"TC-PLT Count",MISSING,"",,32%
"FBS+PPBS+HBA1C",MISSING,"",,21%
""HLA B27",MISSING,"",,38%
""PAP Smear",MISSING,"",,36%
"Accuris B+ve Veg Food Allergy panel",MISSING,"",,26%
"TSH Receptor Antibody",MISSING,"",,45%
"Aspergillus fumigatus IgM Ab.",MISSING,"",,28%
"Flu/H1N1 2009 with Collection Charge",MISSING,"",,28%
""Accuris B+ checkup - SILVER 	"",MISSING,"",,24%
"Progesterone",MISSING,"",,42%
"CPK-MM",MISSING,"",,23%
"Calprotectin [Quantitative]",MISSING,"",,59%
"Fibrinogen",MISSING,"",,40%
"Second Trimester Maternal Screen [Triple Marker]",MISSING,"",,29%
"Protein Electrophoresis",FUZZY,"Hemoglobin Electrophoresis",HBE,73%
""Urine (Albumin",MISSING,"",,47%
"Accuris B+ve checkup - Platinum Plus Male",MISSING,"",,29%
""Sodium",MISSING,"",,42%
""Osmolality",MISSING,"",,28%
""Complement C4",MISSING,"",,31%
"Tacrolimus Level",MISSING,"",,32%
"Biopsy Very large & Complex",MISSING,"",,44%
""Methotrexate level",MISSING,"",,30%
"Erythrocyte Sedimentation Rate [ESR] 1 and 2 Hours",FUZZY,"Erythrocyte Sedimentation Rate (ESR)",ESR,68%
""JAK2 V617F Mutation",MISSING,"",,32%
""Anti Smooth Muscle Antibody (ASMA)",MISSING,"",,46%
""LKM1 Antibodies",MISSING,"",,33%
"Anti LKM1 Antibodies by IFA",MISSING,"",,45%
"Anti Mitochondrial Antibody by ELISA",MISSING,"",,44%
""Ceruloplasmin",MISSING,"",,43%
"Brucella IgM",MISSING,"",,33%
""Measles IgM",MISSING,"",,50%
"C-ANCA (PR3) & P-ANCA (MPO) By ELISA",MISSING,"",,31%
""ENA (Extractable Nuclear Antigens) Profile",MISSING,"",,47%
"Hypersensitivity Pneumonitis Panel",MISSING,"",,29%
""Copper",MISSING,"",,29%
"Hepatitis B surface [HBs] Ab. [Quantitative]",MISSING,"",,50%
"Stone analysis",MISSING,"",,38%
"COVID-19 by RT-PCR",MISSING,"",,24%
"BRCA1 & BRCA2 Germline by NGS",MISSING,"",,28%
"Gram Stain",MISSING,"",,40%
""Rapid Plasma Reagin (RPR) Screening",MISSING,"",,35%
"C-Peptide (Random)",MISSING,"",,39%
"Weil Felix Test",MISSING,"",,53%
"Parasite identification",MISSING,"",,35%
"Water culture",MISSING,"",,35%
""Water Hardness Test (TDS",MISSING,"",,35%
"Biofire Meningitis Panel (CSF)",MISSING,"",,39%
"Glioma Comprehensive Panel - IHC and PCR sequencing",MISSING,"",,35%
"Accuris B+ve Champion Basic",MISSING,"",,30%
"Toxoplasma IgM",FUZZY,"Toxoplasma IgG/IgM",TOXOGM,78%
""Cryptococcus Sp. Ag",MISSING,"",,25%
"Antibiogram of Methicillin Resistant S. aureus (MRSA)",MISSING,"",,28%
"Biopsy Extra Large 2",MISSING,"",,60%
"Accuris B+ve Checkup - Kids Special (Age 0-17 year)",MISSING,"",,25%
""Occult blood",MISSING,"",,57%
"Angiotensin Converting Enzyme (ACE)",MISSING,"",,34%
"Anti-cardiolipin Antibodies IgG & IgM",MISSING,"",,35%
"Malarial Parasite",MISSING,"",,53%
"Influenza A IgG Antibody",MISSING,"",,58%
"Influenza A IgM Antibody",FUZZY,"Hepatitis A IgM Antibody",HAVIGM,63%
"Influenza B IgM Antibody",MISSING,"",,58%
"Influenza B IgG Antibody",MISSING,"",,54%
"Antibiogram of Candida Sp.",MISSING,"",,29%
""Immunoglobulin",MISSING,"",,53%
""Acetone",MISSING,"",,33%
"C-MYC gene rearrangement By FISH",MISSING,"",,28%
"Immunophenotyping Leukemia Panel",MISSING,"",,38%
"Dr. Nirav Patel (Minor Profile) Urgent",MISSING,"",,32%
"Thyroid Stimulating Immunoglobulin (TSI)",MISSING,"",,57%
"LDL Cholesterol [Direct assay]",MISSING,"",,37%
""Chikungunya (Qualitative)",MISSING,"",,46%
"TTG IgA",MISSING,"",,28%
"Allergy Panel - Veg food + Pollens + Contacts + Drugs",MISSING,"",,25%
"Antiphospholipid Antibody (APLA) profile",MISSING,"",,38%
""ANCA",MISSING,"",,22%
""Glucose",MISSING,"",,38%
"Antibiogram of Pseudomonas aeruginosa 1",MISSING,"",,28%
"DHEA-S",MISSING,"",,22%
"Dengue virus by RT-PCR",MISSING,"",,35%
"Rubella IgG",MISSING,"",,33%
"CMV [Cytomegalovirus] IgG",MISSING,"",,31%
""Thyroglobulin (TG) Antibody",MISSING,"",,55%
""Accuris B+ checkup - GOLD	"",MISSING,"",,25%
"C-Peptide (Postprandial)",MISSING,"",,38%
"Thyroglobulin",FUZZY,"Hemoglobin",HB,62%
""Fructosamine",MISSING,"",,38%
""Posaconazole level",MISSING,"",,37%
""Microalbumin",MISSING,"",,54%
"Cortisol [4 PM]",MISSING,"",,27%
"Total WBC (Leukocyte) Count",MISSING,"",,44%
"Antibiogram of Klebsiella Pneumoniae 1",MISSING,"",,34%
"Allergy Panel - Veg + Non-veg +Inhalant",MISSING,"",,26%
""Immunoglobulin",MISSING,"",,53%
""HDL Cholesterol",FUZZY,"Total Cholesterol",CHOL,76%
"Homa IR Insulin Resistance Index",MISSING,"",,31%
""Karyotyping - Peripheral Blood (Single)",MISSING,"",,45%
"GH (Growth Hormone)",MISSING,"",,38%
"TSH",MISSING,"",,22%
"Vitamin B12",EXACT,"Vitamin B12",VITB12,100%
"Thyroid Function Test [TFT]",FUZZY,"Thyroid Function Test (TFT)",TFT,93%
"CBC (Complete Blood Count)",MISSING,"",,52%
""Creatinine",MISSING,"",,53%
"Vitamin D [25-OH-D]",FUZZY,"Vitamin D (25-OH)",VITD25,79%
"HbA1c (Glycosylated Hemoglobin)",EXACT,"HbA1c (Glycosylated Hemoglobin)",HBA1C,100%
"Urine Routine Examination (URM)",EXACT,"Urine Routine Examination (URM)",URM,100%
"Random Plasma Glucose",EXACT,"Random Plasma Glucose",RPG,100%
"CBC - ESR",MISSING,"",,42%
"ALT (SGPT)",EXACT,"ALT (SGPT)",ALT,100%
""Electrolytes",MISSING,"",,58%
""CRP (C - Reactive Protein)",FUZZY,"C-Reactive Protein",CP,67%
"HB Electrophoresis",FUZZY,"Hemoglobin Electrophoresis",HBE,69%
"Foster Media camp",MISSING,"",,35%
"Fasting Blood Glucose",EXACT,"Fasting Blood Glucose",FBG,100%
"HIV I & II �by Chemiluminescence",MISSING,"",,38%
"Postprandial Blood Glucose [2 H]",FUZZY,"Postprandial Blood Glucose (2 Hours)",PPBG2H,83%
""Hepatitis B Antigen [HBsAg]",FUZZY,"Hepatitis B Antigen (HBsAg), Rapid",HBSAGR,71%
""Uric Acid",FUZZY,"Uric Acid",URIC,90%
"Prothrombin Time [PT]",FUZZY,"Prothrombin Time (PT/INR)",PTINR,76%
"Blood Group [ABO + Rh]",EXACT,"Blood Group [ABO + Rh]",ABORH,100%
"Creatinine with EGFR",EXACT,"Creatinine with EGFR",CREGFR,100%
"Lipid Profile",EXACT,"Lipid Profile",LIPID,100%
"Potassium [Serum/Plasma]",MISSING,"",,58%
"Iron Studies",MISSING,"",,50%
"Biopsy Small",MISSING,"",,55%
"Prolactin",EXACT,"Prolactin",PRL,100%
""Prostate Specific Ag. [PSA]",FUZZY,"Prostate Specific Antigen (PSA), Total",PSA,61%
"FT4 [Free T4]",MISSING,"",,35%
""Rheumatoid factor",MISSING,"",,52%
"Ferritin",EXACT,"Ferritin",FERR,100%
"CS Urine",MISSING,"",,38%
"Torrent Routine package Sabarmati",MISSING,"",,45%
"Bleeding time & clotting time (BT/CT)",FUZZY,"Bleeding Time, Clotting Time, Prothrombin Time",BTCTPT,63%
"First Trimester Maternal Screen [Double Marker]",MISSING,"",,30%
"AST (SGOT)",EXACT,"AST (SGOT)",AST,100%
"Hepatitis C Ab. [Chemiluminescence]",MISSING,"",,43%
"Free Thyroid Function Test [Free TFT]",FUZZY,"Free Thyroid Function Test",FTFT,70%
""Dengue Profile by ELISA [IgG",MISSING,"",,38%
"Beta HCG [Quantitative]",FUZZY,"Beta HCG, Quantitative",BHCGQ,87%
""Immunoglobulin",MISSING,"",,53%
""Sodium (Na+)",FUZZY,"Sodium (Na+)",NA,92%
""Homocysteine",FUZZY,"Homocysteine",HCY,92%
"CS Blood Aerobic By Bactec (1 bottle)",MISSING,"",,35%
""Thyroid Peroxidase (TPO) Antibody",FUZZY,"Thyroid Peroxidase (TPO) Antibody",TPOAB,97%
"Anti Mullerian Hormone",EXACT,"Anti Mullerian Hormone",AMH,100%
"Activated Partial Thromboplastin Time [aPTT]",FUZZY,"Activated Partial Thromboplastin Time (aPTT)",APTT,95%
""ANA",MISSING,"",,22%
""Salmonella typhi IgM",MISSING,"",,29%
""Albumin Creatinine Ratio",FUZZY,"Albumin Creatinine Ratio, Urine",UACR,74%
""Bilirubin",MISSING,"",,40%
""Urea",MISSING,"",,22%
""Calcium",MISSING,"",,44%
"Fibrin D-Dimer",MISSING,"",,50%
"Iron [Fe]",MISSING,"",,50%
"Biopsy Medium",EXACT,"Biopsy Medium",BIOMED,100%
"Anti CCP (Cyclic Citrullinated Peptide)",FUZZY,"Anti-CCP (Cyclic Citrullinated Peptide)",CCP,97%
"FT3 [Free T3]",MISSING,"",,30%
"Progesterone",MISSING,"",,42%
"Health champion Platinum Surat",MISSING,"",,33%
"FSH",MISSING,"",,17%
"Dr's Nischal profile (Fasting)",MISSING,"",,40%
"CPK-Total",MISSING,"",,25%
"CS Pus / Wound / Bed sore / Abscess",MISSING,"",,26%
"Widal test [Tube method]",FUZZY,"Widal Test (Slide Method)",WIDALS,76%
""Lipase",FUZZY,"Lipase",LIPASE,86%
"Stool Routine Examination",EXACT,"Stool Routine Examination",SRE,100%
"Protein with A/G Ratio [Fraction panel]",MISSING,"",,41%
"Blood Gas Analysis (ABG) with Lactate",MISSING,"",,32%
"Alkaline Phosphatase",EXACT,"Alkaline Phosphatase",ALP,100%
"Luteinizing Hormone [LH]",FUZZY,"Luteinizing Hormone (LH)",LH,92%
""LDH [Lactate dehydrogenase]",MISSING,"",,57%
""G6PD",MISSING,"",,17%
"Protein Creatinine Ratio",FUZZY,"Albumin Creatinine Ratio, Urine",UACR,61%
"Antibiogram of Klebsiella Pneumoniae 1",MISSING,"",,34%
""Acetone",MISSING,"",,33%
"Hb (Hemoglobin)",FUZZY,"Hemoglobin",HB,67%
"Ammonia (NH3)",MISSING,"",,39%
"Culture without Sensitivity",MISSING,"",,33%
"Sickling Test",EXACT,"Sickling Test",SICKLE,100%
"Insulin [Fasting]",MISSING,"",,38%
"NT-proBNP",MISSING,"",,33%
""Malarial Antigen",MISSING,"",,58%
"Testosterone",MISSING,"",,35%
""Folic Acid",FUZZY,"Uric Acid",URIC,64%
"VDRL with titer",EXACT,"VDRL with Titer",VDRL,100%
""PAP Smear",MISSING,"",,36%
"Antibiogram of Pseudomonas aeruginosa 1",MISSING,"",,28%
""Dengue NS1 Antigen",FUZZY,"Dengue NS1 Antigen (Rapid)",DNS1R,65%
"Erythrocyte Sedimentation Rate [ESR] 1 Hour",FUZZY,"Erythrocyte Sedimentation Rate (ESR)",ESR,79%
""CS Blood Aerobic Bactec [1 Set / 2 Bottles]",MISSING,"",,30%
"Hepatitis A IgM Ab.",FUZZY,"Hepatitis A IgM Antibody",HAVIGM,75%
""Amylase",MISSING,"",,43%
""Parathyroid Hormone (PTH)",MISSING,"",,46%
"Bicarbonate (HCO3)",EXACT,"Bicarbonate (HCO3)",HCO3,100%
""Troponin T",MISSING,"",,38%
"Venous Blood Gas (VBG) Analysis",MISSING,"",,33%
"Antibiogram of Escherichia coli 1",MISSING,"",,27%
"Second Trimester Maternal Screen [Triple Marker]",MISSING,"",,29%
"Hormone Evaluation (FSH-LH-Prolactin)",MISSING,"",,30%
""Protein (Total)",MISSING,"",,38%